-1931.04	-1926.5	-9620.79	2 14	439.33	105.05	15	532.2	105.31	
-1520.62	-2284.36	-9616.1	2 14	402.59	72.82	15	494.04	72.87	
-1522.98	-2283.49	-9615.93	2 13	128.05	71.44	14	402.59	72.82	
-1626.91	-2214.71	-9615	2 14	412.13	79.08	15	504.53	78.45	
-1889.21	-2007.72	-9612.49	2 13	161.73	98.72	14	436.11	97.83	
-1893.91	-2005.58	-9612.01	2 14	436.11	97.83	15	528.9	98.17	
-1940.05	-1971.99	-9609.76	2 14	440.28	100.81	15	532.89	101.19	
-1912.82	-2046.48	-9599.64	2 13	164.09	95.14	14	438.38	94.07	
-1917.33	-2045.27	-9599	2 14	438.38	94.07	15	531.31	93.95	
-1986.86	-1986.29	-9597.24	2 14	444.65	99.34	15	538	99.12	
-1087.41	-2600.28	-9594.59	2 14	363.9	43.8	15	454.76	44.66	
-2015.23	-1977.48	-9593.14	2 13	173.46	101.84	14	448.01	99.97	
1651.38	-2292.37	-9592.6	2 14	113.88	68.84	15	207.35	73.52	
-1345.89	-2489.4	-9591.22	2 14	387.16	53.86	15	478.51	54.27	
-2104.62	-1892.46	-9591.1	2 13	181.53	109.94	14	455.46	107.76	
-2106.12	-1891.44	-9590.97	2 14	455.46	107.76	15	549.18	107.95	
-1316.52	-2510.91	-9589.69	2 13	109.07	48.53	14	383.82	51.99	
-1753.21	-2228.88	-9589.49	2 14	423.76	77.4	15	516.19	77.4	
-1752.1	-2238.09	-9587.55	2 13	149.64	76.57	14	423.76	77.4	
-1842.34	-2164.56	-9587.52	2 13	157.89	83.82	14	432.47	83.15	
-1849.7	-2164.45	-9586.12	2 14	432.47	83.15	15	525.01	83.1	
-1916.71	-2116.82	-9583.59	2 13	164.72	88.53	14	438.97	87.49	
-1921.55	-2115.67	-9582.88	2 14	438.97	87.49	15	531.95	87.47	
-1811	-2219.49	-9580.93	2 13	155.14	78.52	14	429.2	78.22	
-1812.57	-2218.24	-9580.92	2 14	429.2	78.22	15	521.96	78.1	
-1989.21	-2063.97	-9580.35	2 13	171.34	93.68	14	445.6	92.07	
-1994.71	-2064.12	-9579.17	2 14	445.6	92.07	15	538.55	92.09	
-1287.8	-2585.54	-9573.74	2 14	382.1	44.82	15	473.41	44.98	
-1815.46	-2263.03	-9569.89	2 14	429.6	74	15	521.5	74.38	
-1876.2	-2234.95	-9564.77	2 14	435.13	76.45	15	527.65	76.09	
-2114.79	-2012.97	-9564.29	2 14	456.62	96.44	15	550.05	96.45	
-1871.69	-2241.25	-9564.18	2 13	160.96	76.63	14	435.13	76.45	
-1805.29	-2300.78	-9562.81	2 13	154.92	70.76	14	429.16	70.55	
-1809.49	-2299.82	-9562.25	2 14	429.16	70.55	15	521.57	70.43	
-1749.42	-2351.76	-9560.79	2 13	149.83	65.7	14	423.81	65.8	
-1749.81	-2352.06	-9560.65	2 14	423.81	65.8	15	515.97	65.96	
-1705.97	-2387.89	-9559.69	2 13	145.85	62.08	14	419.92	62.69	
-1258.25	-2652.31	-9559.4	2 14	379.57	38.48	15	470.52	39.08	
-1448.65	-2554.03	-9559.2	2 14	396.72	47.45	15	488.21	47.81	
-1362.51	-2603.48	-9558.53	2 14	388.97	42.93	15	480.9	42.8	
-1983.73	-2172.46	-9557.47	2 13	171.25	83.45	14	445.72	81.78	
-1992.39	-2174.13	-9555.29	2 14	445.72	81.78	15	538.47	81.76	
-2034.83	-2139.66	-9554.13	2 14	449.56	84.87	15	542.72	84.71	
-2057.75	-2124.06	-9552.7	2 13	178.02	88.19	14	452.31	86.31	
-2064.9	-2123.18	-9551.35	2 14	452.31	86.31	15	545.38	86.03	
-1930.9	-2265.92	-9546.58	2 14	440.3	73.35	15	532.96	73.33	
-1898.62	-2293.98	-9546.35	2 13	163.72	71.69	14	437.49	70.78	
-1899.64	-2294.26	-9546.09	2 14	437.49	70.78	15	530.44	70.66	
-1956.99	-2248.07	-9545.49	2 13	169.04	76.22	14	442.97	74.59	
-1960.13	-2251.71	-9543.99	2 14	442.97	74.59	15	535.78	74.89	
-1851.98	-2346.98	-9542.63	2 13	159.53	66.49	14	433.35	65.7	
-1853.06	-2349.61	-9541.78	2 14	433.35	65.7	15	525.93	65.17	
-1881.33	-2330.87	-9540.84	2 13	162.24	68.12	14	436.12	67.48	
-2121.57	-2114.82	-9540.78	2 13	183.98	89.2	14	458.07	87.02	
-1883.63	-2329.73	-9540.67	2 14	436.12	67.48	15	528.86	67.22	
-2126.91	-2113.26	-9539.94	2 14	458.07	87.02	15	551.35	86.85	
-1486.7	-2605.98	-9539.32	2 14	400.36	42.37	15	492.32	41.88	
-1358.72	-2697.1	-9533.07	2 14	388.88	33.93	15	480.28	34.13	
-1840.38	-2396.74	-9532.51	2 14	432.33	61.27	15	525.05	60.93	
-1843.76	-2398.67	-9531.37	2 13	158.97	61.51	14	432.33	61.27	
-1966.03	-2314.45	-9527.75	2 14	443.73	68.64	15	536.52	68.87	
-2041.11	-2275.36	-9521.38	2 13	177.09	73.85	14	451.03	72.21	
-2045.79	-2273.67	-9520.78	2 14	451.03	72.21	15	544.05	72.12	
-2202.83	-2123.73	-9520.36	2 13	191.65	88.53	14	465.55	86.17	
-2375.36	-1939.44	-9518.21	2 14	480.87	102.35	15	574.62	102.2	
-2020.02	-2321.34	-9514.77	2 14	448.79	67.79	15	542.2	67.29	
-2019.85	-2321.89	-9514.67	2 13	175.29	69.37	14	448.79	67.79	
-1462.48	-2746.52	-9503.57	2 14	398.56	28.87	15	489.75	29.24	
-2024.99	-2380.91	-9498.98	2 14	449.47	62.11	15	541.91	62.11	
-1423.21	-2790.03	-9496.85	2 14	395.08	24.75	15	485.54	24.96	
-1943.74	-2476.52	-9491.51	2 14	442.23	53.29	15	533.81	53.86	
-2325.81	-2129.36	-9489.81	2 13	203.22	88.23	14	476.84	84.28	
-2325.55	-2134.23	-9488.78	2 14	476.84	84.28	15	570.69	84	
-1950.44	-2483.18	-9488.39	2 13	169.46	53.72	14	442.82	52.65	
-2000.48	-2443.52	-9488.27	2 14	447.41	56.23	15	540.2	55.66	
-2001.34	-2444.53	-9487.83	2 13	174.1	57.59	14	447.41	56.23	
-2342.75	-2134.73	-9484.43	2 12	11.8	82.01	13	203.22	88.23	
-2296.9	-2211.36	-9478.09	2 13	200.88	80.47	14	474.66	76.43	
-2299.16	-2218.47	-9475.88	2 14	474.66	76.43	15	568.61	76.34	
2774.9	1591.9	-9474.48	2 15	98.18	425.95	16	379.35	421.74	
-2222.56	-2310.13	-9472.25	2 13	194.35	70.98	14	468.05	68.05	
-2225.5	-2310.03	-9471.58	2 14	468.05	68.05	15	561.45	67.81	
2815.38	1549.27	-9469.6	2 15	94.42	422.01	16	375.08	417.52	
-1927.78	-2571.37	-9469.52	2 14	441.1	44.24	15	533.72	43.38	
-2016.98	-2509.03	-9467.66	2 13	175.89	51.43	14	448.81	49.84	
1889.99	-2642.7	-9457.49	2 14	89.38	33.31	15	183.47	39	
1889.96	-2643.41	-9457.3	2 14	89.38	33.24	15	183.56	38.94	
1893.75	-2641.03	-9457.2	2 15	183.56	38.94	16	462.56	41.95	
-2160.17	-2429	-9456.94	2 14	462.36	56.97	15	555.46	56.38	
-2087.01	-2513.16	-9451.37	2 14	455.81	49.2	15	548.95	48.64	
-2091.09	-2511.14	-9451.01	2 13	182.92	51.44	14	455.81	49.2	
1652.48	-2847.01	-9442.66	2 14	111.64	14.4	15	205.5	20.1	
1612.92	-2870.19	-9442.48	2 15	208.96	17.8	16	487.6	18.96	
1617.2	-2881.63	-9438.27	2 14	114.91	11.14	15	208.96	17.8	
-3007.26	-1447.05	-9426.69	2 12	76.24	150.54	13	264.59	151.63	
